+0.0000e+00 +1.0000e+00
+1.0000e-01 +9.9000e-01
+2.0000e-01 +9.7000e-01
+3.0000e-01 +9.4000e-01
+4.0000e-01 +9.0000e-01
+5.0000e-01 +8.5000e-01
+6.0000e-01 +7.9000e-01
+7.0000e-01 +7.2000e-01
+8.0000e-01 +6.4000e-01
+9.0000e-01 +5.5000e-01
+1.0000e+00 +4.5000e-01
+1.1000e+00 +3.4000e-01
+1.2000e+00 +2.2000e-01
+1.3000e+00 +9.0000e-02
+1.4000e+00 -5.0000e-02
+1.5000e+00 -2.0000e-01
+1.6000e+00 -3.6000e-01
+1.7000e+00 -5.3000e-01
+1.8000e+00 -7.1000e-01
+1.9000e+00 -9.0000e-01
+2.0000e+00 -1.1000e+00
+2.1000e+00 -1.3100e+00
+2.2000e+00 -1.5300e+00
+2.3000e+00 -1.7600e+00
+2.4000e+00 -2.0000e+00
+2.5000e+00 -2.2500e+00
+2.6000e+00 -2.5100e+00
+2.7000e+00 -2.7800e+00
+2.8000e+00 -3.0600e+00
+2.9000e+00 -3.3500e+00
+3.0000e+00 -3.6500e+00
+3.1000e+00 -3.9600e+00
+3.2000e+00 -4.2800e+00
+3.3000e+00 -4.6100e+00
+3.4000e+00 -4.9500e+00
+3.5000e+00 -5.3000e+00
+3.6000e+00 -5.6600e+00
+3.7000e+00 -6.0300e+00
+3.8000e+00 -6.4100e+00
+3.9000e+00 -6.8000e+00
+4.0000e+00 -7.2000e+00
+4.1000e+00 -7.6100e+00
+4.2000e+00 -8.0300e+00
+4.3000e+00 -8.4600e+00
+4.4000e+00 -8.9000e+00
+4.5000e+00 -9.3500e+00
+4.6000e+00 -9.8100e+00
+4.7000e+00 -1.0280e+01
+4.8000e+00 -1.0760e+01
+4.9000e+00 -1.1250e+01
+5.0000e+00 -1.1750e+01
+5.1000e+00 -1.2260e+01
+5.2000e+00 -1.2780e+01
+5.3000e+00 -1.3310e+01
+5.4000e+00 -1.3850e+01
+5.5000e+00 -1.4400e+01
+5.6000e+00 -1.4960e+01
+5.7000e+00 -1.5530e+01
+5.8000e+00 -1.6110e+01
+5.9000e+00 -1.6700e+01
+6.0000e+00 -1.7300e+01
+6.1000e+00 -1.7910e+01
+6.2000e+00 -1.8530e+01
+6.3000e+00 -1.9160e+01
+6.4000e+00 -1.9800e+01
+6.5000e+00 -2.0450e+01
+6.6000e+00 -2.1110e+01
+6.7000e+00 -2.1780e+01
+6.8000e+00 -2.2460e+01
+6.9000e+00 -2.3150e+01
+7.0000e+00 -2.3850e+01
+7.1000e+00 -2.4560e+01
+7.2000e+00 -2.5280e+01
+7.3000e+00 -2.6010e+01
+7.4000e+00 -2.6750e+01
+7.5000e+00 -2.7500e+01
+7.6000e+00 -2.8260e+01
+7.7000e+00 -2.9030e+01
+7.8000e+00 -2.9810e+01
+7.9000e+00 -3.0600e+01
+8.0000e+00 -3.1400e+01
+8.1000e+00 -3.2210e+01
+8.2000e+00 -3.3030e+01
+8.3000e+00 -3.3860e+01
+8.4000e+00 -3.4700e+01
+8.5000e+00 -3.5550e+01
+8.6000e+00 -3.6410e+01
+8.7000e+00 -3.7280e+01
+8.8000e+00 -3.8160e+01
+8.9000e+00 -3.9050e+01
+9.0000e+00 -3.9950e+01
+9.1000e+00 -4.0860e+01
+9.2000e+00 -4.1780e+01
+9.3000e+00 -4.2710e+01
+9.4000e+00 -4.3650e+01
+9.5000e+00 -4.4600e+01
+9.6000e+00 -4.5560e+01
+9.7000e+00 -4.6530e+01
+9.8000e+00 -4.7510e+01
+9.9000e+00 -4.8500e+01
+1.0000e+01 -4.9500e+01

